넘버링,총 운세 옵션 2 (선택 2),행운 항목 1,행운 결과 1,행운 항목 2,행운 결과 2,행운 항목 3,행운 결과 3,추천 음악 제목,추천 아티스트,타겟 제품코드
63,"쓴맛을 지나, 진짜 달콤함에 닿습니다.",오늘의 음식,초코바,오늘의 컬러,딥브라운,오늘의 귀인과 함께하세요,요리를 잘 하는 사람,쇼콜라,씨야,
85,"따뜻한 위로가 필요한 순간, 귀인이 나타납니다.",오늘의 음식,핫초코,오늘의 컬러,베이지,오늘의 귀인과 함께하세요,검은 머리의 사람,위로,권진아,
89,지적 호기심이 당신을 더 넓은 세상으로 인도합니다.,오늘의 음식,블루베리,오늘의 컬러,와인,오늘의 귀인과 함께하세요,입이 큰 사람,읽어봐,스텔라장,
93,오랫동안 꿈꿔왔던 목표를 마침내 달성합니다.,오늘의 음식,금메달 모양 초코,오늘의 컬러,실버,오늘의 귀인과 함께하세요,손이 큰 사람,전설,잔나비,
95,따뜻한 햇살 아래서 소중한 사람과 티타임을 즐깁니다.,오늘의 음식,찻잔 세트,오늘의 컬러,애플그린,오늘의 귀인과 함께하세요,키가 큰 사람,좋아해,요조,
109,과거의 오해가 풀리고 화해의 손길을 내밀게 됩니다.,오늘의 음식,시원한 물냉면,오늘의 컬러,민트,오늘의 귀인과 함께하세요,손가락이 긴 사람,시원하게,쿨,
195,재치 있는 모습이 웃음을 만듭니다,오늘의 음식,치킨,오늘의 컬러,팝 핑크,오늘의 귀인과 함께하세요,달리기를 잘 하는 사람,웃어요,마마무,
10,서두르지 않아도 길은 자연스럽게 이어집니다.,오늘의 아이템,나침반,오늘의 컬러,스카이블루,오늘의 귀인과 함께하세요,점프를 높이 뛰는 사람,고속도로 로맨스,윤종신,enhp-002
18,정성 들인 일이 좋은 기운을 냅니다.,오늘의 아이템,원예 가위,오늘의 컬러,라임,오늘의 귀인과 함께하세요,손톱이 예쁜 사람,꽃 (Flower),지수,hero-001
38,아름다운 인연의 기운이 보입니다.,오늘의 아이템,접이식 부채,오늘의 컬러,사쿠라핑크,오늘의 귀인과 함께하세요,손을 든 사람,인연,이선희,
40,주목받는 순간이 찾아올 수 있습니다.,오늘의 아이템,선글라스,오늘의 컬러,골드,오늘의 귀인과 함께하세요,안경을 쓴 사람,무대,지코,
74,예술적인 영감이 떠오릅니다.,오늘의 아이템,스케치북,오늘의 컬러,인디고,오늘의 귀인과 함께하세요,머리를 민 사람,아티스트,지코,
78,넓은 세상으로 나아가 시야를 넓히게 됩니다.,오늘의 아이템,여권 커버,오늘의 컬러,오션블루,오늘의 귀인과 함께하세요,보고있는 문을 세번째로 넘어오는 사람,여행,볼빨간사춘기,
80,창의적인 아이디어로 문제를 단번에 해결합니다.,오늘의 아이템,노란색 포스트잇,오늘의 컬러,옐로우,오늘의 귀인과 함께하세요,횡단보도 건너편에 있는 사람,천재,지코,
99,우연히 펼친 책 페이지에서 답을 찾습니다.,오늘의 아이템,독서등,오늘의 컬러,아이보리,오늘의 귀인과 함께하세요,자는 사람,책 읽어주는 남자,소심한 오빠들,
104,뜻밖의 행운이 찾아와 재정적인 고민이 해결됩니다.,오늘의 아이템,금반지,오늘의 컬러,그린,오늘의 귀인과 함께하세요,반지를 낀 사람,10억 광년의 신호,이승환,
128,새로운 취미나 부업에서 두각을 나타냅니다.,오늘의 아이템,카메라,오늘의 컬러,브라운,오늘의 귀인과 함께하세요,일기를 쓰는 사람,재능,딘,
151,든든한 조력자를 만나 힘을 얻습니다,오늘의 아이템,나침반,오늘의 컬러,미드나잇 블루,오늘의 귀인과 함께하세요,카페 점원,조력자,아이유,
180,경험이 문제 해결에 도움이 됩니다,오늘의 아이템,오래된 노트,오늘의 컬러,네이비,오늘의 귀인과 함께하세요,요리를 잘 하는 사람,지나간 것은 지나간 대로,김광석,
190,예전의 꿈을 다시 떠올리게 됩니다,오늘의 아이템,유치원 사진,오늘의 컬러,팝 옐로우,오늘의 귀인과 함께하세요,검은 머리의 사람,동화,아이유,
144,긍정적인 태도가 주변에 좋은 영향을 줍니다,오늘의 숫자,15,오늘의 컬러,오렌지,오늘의 귀인과 함께하세요,입이 큰 사람,긍정적인 마인드,다이나믹 듀오,
158,미뤄왔던 계획을 시작하기 좋은 날입니다,오늘의 시간,아침 7시,오늘의 컬러,딥 레드,오늘의 귀인과 함께하세요,손이 큰 사람,이제 시작이야,이승기,
98,당신의 삶에 은은한 차 향기 같은 여유가 깃듭니다.,오늘의 음식,찻잔 세트,오늘의 향기,자스민,오늘의 귀인과 함께하세요,키가 큰 사람,차 한잔,조용필,
145,쉽지 않은 상황에서도 의지를 지켜냅니다,오늘의 음식,매운 떡볶이,오늘의 향기,계피,오늘의 귀인과 함께하세요,손가락이 긴 사람,난 괜찮아,이효리,
152,누군가에게 도움을 줄 여유가 생깁니다,오늘의 음식,돼지 갈비,오늘의 향기,베르가못,오늘의 귀인과 함께하세요,달리기를 잘 하는 사람,The Sweetest Thing,U2,
56,소중한 기억이 힘이 됩니다.,오늘의 아이템,폴라로이드 사진기,오늘의 향기,세피아,오늘의 귀인과 함께하세요,점프를 높이 뛰는 사람,사진,김범수,
82,한 걸음 더 도약하여 이전과는 다른 풍경을 보게 됩니다.,오늘의 아이템,등산 스틱,오늘의 향기,흙 내음,오늘의 귀인과 함께하세요,손톱이 예쁜 사람,오르막길,윤종신,
141,건강과 관련된 흐름이 한결 편안해집니다,오늘의 아이템,약봉지,오늘의 향기,유칼립투스,오늘의 귀인과 함께하세요,손을 든 사람,숨,민니,
160,예술적인 감각이 살아납니다,오늘의 아이템,붓펜,오늘의 향기,라일락,오늘의 귀인과 함께하세요,안경을 쓴 사람,예술가의 삶,이선희,
169,배움을 통해 실력이 차곡차곡 쌓입니다,오늘의 아이템,전자책 단말기,오늘의 향기,허브,오늘의 귀인과 함께하세요,머리를 민 사람,공부해,"유세윤, 송민호",
21,자연스럽게 시선이 모입니다.,오늘의 숫자,27,오늘의 향기,복숭아,오늘의 귀인과 함께하세요,보고있는 문을 세번째로 넘어오는 사람,Attention,Newjeans,le-001
8,진심이 좋은 흐름으로 이어집니다.,오늘의 장소,영화관,오늘의 향기,장미,오늘의 귀인과 함께하세요,횡단보도 건너편에 있는 사람,고백,장범준,bts-004
11,바라던 방향으로 일이 풀립니다.,오늘의 장소,하늘 공원,오늘의 향기,민트,오늘의 귀인과 함께하세요,자는 사람,Dreams Come True,S.E.S,enhp-003
110,당신의 지적인 매력이 이성에게 큰 호감을 줍니다.,오늘의 장소,북카페,오늘의 향기,레몬,오늘의 귀인과 함께하세요,반지를 낀 사람,나의 머리는 녹색,자이언티,
124,가족 여행이나 특별한 이벤트를 계획할 좋은 시기입니다.,오늘의 장소,놀이동산,오늘의 향기,바닐라,오늘의 귀인과 함께하세요,일기를 쓰는 사람,풍선,지민(BTS),
133,첫눈에 반하는 운명적인 사랑이 시작될 수 있습니다.,오늘의 장소,미술관,오늘의 향기,로즈,오늘의 귀인과 함께하세요,카페 점원,첫사랑,볼빨간사춘기,
